table,column,dtype,unit,grain,description,available_at,role,nullable_in_this_release,missing_count,null_meaning,generation_family,generator_expressions,parent_symbol_definitions,calibration_status
recipes,pressure_setpoint_torr,float64,Torr absolute,one stage/product recipe,Illustrative recipe lookup: pressure setpoint torr. Fixed per stage/product in recipes_raw.,before the run,observation_or_process_context,True,10,Structural not-applicable stage/recipe sensor.,"Fixed illustrative stage recipe lookup, from recipes_raw in generate.py.",generate.py:141: pressure,,illustrative_simulation_assumption
recipes,gas_flow_setpoint_sccm,float64,standard cm^3/min,one stage/product recipe,Illustrative recipe lookup: gas flow setpoint sccm. Fixed per stage/product in recipes_raw.,before the run,observation_or_process_context,True,10,Structural not-applicable stage/recipe sensor.,"Fixed illustrative stage recipe lookup, from recipes_raw in generate.py.",generate.py:141: gas,,illustrative_simulation_assumption
recipes,etch_rate_nominal_nm_min,float64,nm/min,one stage/product recipe,Illustrative recipe lookup: etch rate nominal nm min. Fixed per stage/product in recipes_raw.,before the run,observation_or_process_context,True,16,Structural not-applicable stage/recipe sensor.,"Fixed illustrative stage recipe lookup, from recipes_raw in generate.py.",generate.py:141: rate,,illustrative_simulation_assumption
recipes,rf_source_power_setpoint_w,float64,W,one stage/product recipe,Illustrative recipe lookup: rf source power setpoint w. Fixed per stage/product in recipes_raw.,before the run,observation_or_process_context,True,12,Structural not-applicable stage/recipe sensor.,"Fixed illustrative stage recipe lookup, from recipes_raw in generate.py.",generate.py:141: power,"power = positive(7.0+0.45*hh+0.15*leakage[di].sum()+0.5*int(failed)+rtest.normal(0,0.35),1)",illustrative_simulation_assumption
recipes,duration_nominal_sec,int64,s,one stage/product recipe,Illustrative recipe lookup: duration nominal sec. Fixed per stage/product in recipes_raw.,before the run,observation_or_process_context,False,0,No missing values in this generated cohort.,"Fixed illustrative stage recipe lookup, from recipes_raw in generate.py.",generate.py:141: duration,,illustrative_simulation_assumption
recipes,provenance,str,category/text,one stage/product recipe,Recipe numeric parameters are illustrative assumptions.,before the run,observation_or_process_context,False,0,No missing values in this generated cohort.,"Fixed illustrative stage recipe lookup, from recipes_raw in generate.py.",generate.py:141: 'illustrative_assumption',,illustrative_simulation_assumption
wafer_process,run_id,str,category/text,one wafer/module run,Fictional run identifier for traceability or configuration.,at end_time_utc,identifier_or_metadata,False,0,No missing values in this generated cohort.,"Stage setpoint plus chamber offset, run-age drift, persistent excursion, shared lot/wafer state and correlated noise.",generate.py:122: f'R{si*n_w+j+1:07}' | generate.py:464: row.run_id,n_w = nl*nw,illustrative_simulation_assumption
wafer_process,wafer_id,str,category/text,one wafer/module run,Fictional wafer identifier for traceability or configuration.,at end_time_utc,identifier_or_metadata,False,0,No missing values in this generated cohort.,"Stage setpoint plus chamber offset, run-age drift, persistent excursion, shared lot/wafer state and correlated noise.",generate.py:72: wafer_ids | generate.py:195: wafer_ids[dw] | generate.py:122: wafer_ids[j] | generate.py:464: row.wafer_id,"wafer_ids = np.array([f'W{i+1:06}' for i in wi]) | dw = np.repeat(wi,nd)",illustrative_simulation_assumption
wafer_process,process_step,str,category/text,one wafer/module run,One of ten selected process modules; not the complete upstream DRAM route.,at end_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,"Stage setpoint plus chamber offset, run-age drift, persistent excursion, shared lot/wafer state and correlated noise.",generate.py:122: stage | generate.py:141: stage | generate.py:464: row.process_step,"stage = 'none' if not failed else ('multiple' if len(mode_list)>1 else {                 'dram_electrical':'dram_or_base','tsv_open_short':'tsv_or_interconnect',                 'microbump_open_bridge':'reflow','die_crack':'handling',                 'warpage':'assembly','underfill_void':'molding','delamination':'molding'}[mode_list[0]])",illustrative_simulation_assumption
wafer_process,process_order,int64,count/index,one wafer/module run,"Ordering of the selected process modules, 1 through 10.",at end_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,"Stage setpoint plus chamber offset, run-age drift, persistent excursion, shared lot/wafer state and correlated noise.",generate.py:122: si+1,,illustrative_simulation_assumption
wafer_process,tool_id,str,category/text,one wafer/module run,Fictional tool identifier for traceability or configuration.,at end_time_utc,identifier_or_metadata,False,0,No missing values in this generated cohort.,"Stage setpoint plus chamber offset, run-age drift, persistent excursion, shared lot/wafer state and correlated noise.",generate.py:122: f'{stage}_T{bank[j]//2+1:02}',"stage = 'none' if not failed else ('multiple' if len(mode_list)>1 else {                 'dram_electrical':'dram_or_base','tsv_open_short':'tsv_or_interconnect',                 'microbump_open_bridge':'reflow','die_crack':'handling',                 'warpage':'assembly','underfill_void':'molding','delamination':'molding'}[mode_list[0]]) | bank = (wlot+wi % nw) % 8",illustrative_simulation_assumption
wafer_process,chamber_id,str,category/text,one wafer/module run,Fictional chamber identifier for traceability or configuration.,at end_time_utc,identifier_or_metadata,False,0,No missing values in this generated cohort.,"Stage setpoint plus chamber offset, run-age drift, persistent excursion, shared lot/wafer state and correlated noise.",generate.py:122: f'{stage}_C{bank[j]+1:02}',"stage = 'none' if not failed else ('multiple' if len(mode_list)>1 else {                 'dram_electrical':'dram_or_base','tsv_open_short':'tsv_or_interconnect',                 'microbump_open_bridge':'reflow','die_crack':'handling',                 'warpage':'assembly','underfill_void':'molding','delamination':'molding'}[mode_list[0]]) | bank = (wlot+wi % nw) % 8",illustrative_simulation_assumption
wafer_process,recipe_id,str,category/text,one wafer/module run,Fictional recipe identifier for traceability or configuration.,at end_time_utc,identifier_or_metadata,False,0,No missing values in this generated cohort.,"Stage setpoint plus chamber offset, run-age drift, persistent excursion, shared lot/wafer state and correlated noise.",generate.py:122: recipe_id | generate.py:141: f'R_{stage}_H{hh}_V1',"recipe_id = f'R_{stage}_H{hl[j]}_V1' | stage = 'none' if not failed else ('multiple' if len(mode_list)>1 else {                 'dram_electrical':'dram_or_base','tsv_open_short':'tsv_or_interconnect',                 'microbump_open_bridge':'reflow','die_crack':'handling',                 'warpage':'assembly','underfill_void':'molding','delamination':'molding'}[mode_list[0]]) | hh = int(h[l])",illustrative_simulation_assumption
wafer_process,start_time_utc,str,UTC ISO-8601,one wafer/module run,"Start time, in a wholly simulated chronology.",at end_time_utc,identifier_or_metadata,False,0,No missing values in this generated cohort.,"Stage setpoint plus chamber offset, run-age drift, persistent excursion, shared lot/wafer state and correlated noise.",generate.py:72: stamp(wafer_start) | generate.py:122: start[j].strftime('%Y-%m-%dT%H:%M:%SZ'),"wafer_start = released[wlot] + pd.to_timedelta((wi % nw)*8, unit='m') | start = wafer_start + pd.to_timedelta(si*8, unit='h')",illustrative_simulation_assumption
wafer_process,end_time_utc,str,UTC ISO-8601,one wafer/module run,"End time, in a wholly simulated chronology.",at end_time_utc,identifier_or_metadata,False,0,No missing values in this generated cohort.,"Stage setpoint plus chamber offset, run-age drift, persistent excursion, shared lot/wafer state and correlated noise.",generate.py:122: end[j].strftime('%Y-%m-%dT%H:%M:%SZ'),"end = start+pd.to_timedelta(dur, unit='s')",illustrative_simulation_assumption
wafer_process,duration_sec,float64,s,one wafer/module run,Simulated operation duration in seconds.,at end_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,"Stage setpoint plus chamber offset, run-age drift, persistent excursion, shared lot/wafer state and correlated noise.",generate.py:122: dur[j],"dur = positive(duration*(1+0.015*state+rng.normal(0, 0.015, n_w)), 10)",illustrative_simulation_assumption
wafer_process,temperature_c,float64,degC,one wafer/module run,Controlled temperature at this process module; not universally the silicon junction temperature.,at end_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,"Stage setpoint plus chamber offset, run-age drift, persistent excursion, shared lot/wafer state and correlated noise.","generate.py:122: temp+max(0.3,temp*0.006)*ztemp[j]","ztemp = 0.55*state+rng.normal(0, 0.5, n_w)",illustrative_simulation_assumption
wafer_process,pressure_torr,float64,Torr absolute,one wafer/module run,Absolute processing-chamber pressure for applicable recipe stages.,at end_time_utc,observation_or_process_context,True,30000,Structural not-applicable stage/recipe sensor.,"Stage setpoint plus chamber offset, run-age drift, persistent excursion, shared lot/wafer state and correlated noise.",generate.py:122: None if pressure is None else pressure*np.exp(0.035*zpressure[j]),"zpressure = 0.65*state+rng.normal(0, 0.5, n_w)",illustrative_simulation_assumption
wafer_process,gas_flow_sccm,float64,standard cm^3/min,one wafer/module run,Total recipe process-gas flow at standard conditions; individual gas species are not resolved.,at end_time_utc,observation_or_process_context,True,30000,Structural not-applicable stage/recipe sensor.,"Stage setpoint plus chamber offset, run-age drift, persistent excursion, shared lot/wafer state and correlated noise.",generate.py:122: None if gas is None else gas*np.exp(0.025*zgas[j]),"zgas = -0.3*state+0.3*zpressure+rng.normal(0, 0.6, n_w)",illustrative_simulation_assumption
wafer_process,etch_rate_nm_min,float64,nm/min,one wafer/module run,Etch removal-rate proxy at etching stages only.,at end_time_utc,observation_or_process_context,True,48000,Structural not-applicable stage/recipe sensor.,"Stage setpoint plus chamber offset, run-age drift, persistent excursion, shared lot/wafer state and correlated noise.","generate.py:122: None if rate is None else rate*np.exp(0.05*state[j]+rng.normal(0,0.02))",state = toolbias[bank]+drift+excursion+0.35*lot_effect[wlot]+wafer_effect,illustrative_simulation_assumption
wafer_process,rf_source_power_w,float64,W,one wafer/module run,RF source power for the applicable plasma-based process stages.,at end_time_utc,observation_or_process_context,True,36000,Structural not-applicable stage/recipe sensor.,"Stage setpoint plus chamber offset, run-age drift, persistent excursion, shared lot/wafer state and correlated noise.","generate.py:122: None if power is None else power*np.exp(0.02*state[j]+rng.normal(0,0.01))","power = positive(7.0+0.45*hh+0.15*leakage[di].sum()+0.5*int(failed)+rtest.normal(0,0.35),1) | state = toolbias[bank]+drift+excursion+0.35*lot_effect[wlot]+wafer_effect",illustrative_simulation_assumption
wafer_process,temperature_std_c,float64,degC,one wafer/module run,Within-run temperature sample standard deviation; equals the sampled trace SD when a trace is present.,at end_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,"Stage setpoint plus chamber offset, run-age drift, persistent excursion, shared lot/wafer state and correlated noise.","generate.py:122: max(0.03, max(0.12,temp*0.002)*(1+max(state[j],0)*0.3))",state = toolbias[bank]+drift+excursion+0.35*lot_effect[wlot]+wafer_effect,illustrative_simulation_assumption
wafer_process,temperature_slope_c_min,float64,degC/min,one wafer/module run,"Temperature slope; on traced runs, least-squares slope fitted to the generated trace.",at end_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,"Stage setpoint plus chamber offset, run-age drift, persistent excursion, shared lot/wafer state and correlated noise.","generate.py:122: rng.normal(0,0.02)+0.025*drift[j]",drift = np.zeros(n_w),illustrative_simulation_assumption
wafer_process,wafers_since_chamber_clean,int64,count/index,one wafer/module run,Per-chamber run counter modulo 120; resets on a simulated cleaning event.,at end_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,"Stage setpoint plus chamber offset, run-age drift, persistent excursion, shared lot/wafer state and correlated noise.",generate.py:122: seq[j]%120,"seq = np.zeros(n_w, dtype=int)",illustrative_simulation_assumption
wafer_process,hours_since_maintenance,float64,h,one wafer/module run,Elapsed wall-clock hours since the chamber run at the last maintenance reset.,at end_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,"Stage setpoint plus chamber offset, run-age drift, persistent excursion, shared lot/wafer state and correlated noise.",generate.py:122: maint_age[j],maint_age = np.zeros(n_w),illustrative_simulation_assumption
wafer_process,consumable_age_cycles,int64,count/index,one wafer/module run,Per-chamber run counter modulo 600.,at end_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,"Stage setpoint plus chamber offset, run-age drift, persistent excursion, shared lot/wafer state and correlated noise.",generate.py:122: seq[j]%600,"seq = np.zeros(n_w, dtype=int)",illustrative_simulation_assumption
wafer_process,alarm_count_run,int64,count/index,one wafer/module run,Number of simulated equipment alarms in the run.,at end_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,"Stage setpoint plus chamber offset, run-age drift, persistent excursion, shared lot/wafer state and correlated noise.","generate.py:122: rng.poisson(0.02+0.15*max(state[j]-1,0))",state = toolbias[bank]+drift+excursion+0.35*lot_effect[wlot]+wafer_effect,illustrative_simulation_assumption
wafer_process,cleanroom_humidity_pct,float64,percent 0..100,one wafer/module run,Relative humidity of the synthetic cleanroom environment.,at end_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,"Stage setpoint plus chamber offset, run-age drift, persistent excursion, shared lot/wafer state and correlated noise.","generate.py:122: np.clip(43+2*lot_effect[wlot[j]]+rng.normal(0,1),25,60)","lot_effect = rng.normal(0, 0.45, nl) | wlot = wi//nw",illustrative_simulation_assumption
wafer_process,airborne_particles_per_m3,int64,particles/m^3,one wafer/module run,Count per one cubic metre of sampled cleanroom air.,at end_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,"Stage setpoint plus chamber offset, run-age drift, persistent excursion, shared lot/wafer state and correlated noise.",generate.py:122: rng.poisson(3*np.exp(0.3*lot_effect[wlot[j]])),"lot_effect = rng.normal(0, 0.45, nl) | wlot = wi//nw",illustrative_simulation_assumption
die_metrology,die_id,str,category/text,one sampled core DRAM die,Fictional die identifier for traceability or configuration.,at available_time_utc,identifier_or_metadata,False,0,No missing values in this generated cohort.,"Shared lot/wafer/module state, radial and local-cluster effects, measurement noise, sampled metrology and screening.",generate.py:195: die_ids | generate.py:232: die_ids | generate.py:442: die_ids | generate.py:444: die_ids | generate.py:307: None | generate.py:302: die_ids[d],die_ids = np.array([f'D{i+1:07}' for i in range(n_d)]),illustrative_simulation_assumption
die_metrology,wafer_id,str,category/text,one sampled core DRAM die,Fictional wafer identifier for traceability or configuration.,at available_time_utc,identifier_or_metadata,False,0,No missing values in this generated cohort.,"Shared lot/wafer/module state, radial and local-cluster effects, measurement noise, sampled metrology and screening.",generate.py:72: wafer_ids | generate.py:195: wafer_ids[dw] | generate.py:122: wafer_ids[j] | generate.py:464: row.wafer_id,"wafer_ids = np.array([f'W{i+1:06}' for i in wi]) | dw = np.repeat(wi,nd)",illustrative_simulation_assumption
die_metrology,die_x,int64,count/index,one sampled core DRAM die,Integer column coordinate of the sampled die center on the assumed grid.,at available_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,"Shared lot/wafer/module state, radial and local-cluster effects, measurement noise, sampled metrology and screening.","generate.py:195: dsite[:,0]","dsite = np.concatenate([sites[rng.choice(len(sites),nd,replace=False)] for _ in wi])",illustrative_simulation_assumption
die_metrology,die_y,int64,count/index,one sampled core DRAM die,Integer row coordinate of the sampled die center on the assumed grid.,at available_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,"Shared lot/wafer/module state, radial and local-cluster effects, measurement noise, sampled metrology and screening.","generate.py:195: dsite[:,1]","dsite = np.concatenate([sites[rng.choice(len(sites),nd,replace=False)] for _ in wi])",illustrative_simulation_assumption
die_metrology,radius_fraction,float64,dimensionless,one sampled core DRAM die,Die-center radial distance divided by usable wafer radius.,at available_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,"Shared lot/wafer/module state, radial and local-cluster effects, measurement noise, sampled metrology and screening.",generate.py:195: radius,radius = np.sqrt((dsite**2).sum(1))*pitch/usable_r,illustrative_simulation_assumption
die_metrology,stack_layer_count,int64,count/index,one sampled core DRAM die,"Number of core DRAM dies, excluding the base die.",at available_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,"Shared lot/wafer/module state, radial and local-cluster effects, measurement noise, sampled metrology and screening.",generate.py:50: h | generate.py:72: hl | generate.py:195: hl[dw] | generate.py:364: hh | generate.py:141: hh,"h = np.where(rng.random(nl) < c['product_12_high_fraction'], 12, 8) | hl = h[wlot] | dw = np.repeat(wi,nd) | hh = int(h[l])",public_architecture_context; simulated row allocation (SOURCES.md)
die_metrology,die_density_gb,int64,GB,one sampled core DRAM die,"Capacity of one core DRAM die, in product-label GB units.",at available_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,"Shared lot/wafer/module state, radial and local-cluster effects, measurement noise, sampled metrology and screening.",generate.py:195: c['core_die_density_gb'],,public_architecture_context; simulated row allocation (SOURCES.md)
die_metrology,available_time_utc,str,UTC ISO-8601,one sampled core DRAM die,"Available time, in a wholly simulated chronology.",at available_time_utc,identifier_or_metadata,False,0,No missing values in this generated cohort.,"Shared lot/wafer/module state, radial and local-cluster effects, measurement noise, sampled metrology and screening.",generate.py:195: stamp(available_time) | generate.py:232: stamp(available_time),available_time = probe_time+pd.Timedelta(hours=6),illustrative_simulation_assumption
die_metrology,metrology_sampled,int64,0/1,one sampled core DRAM die,"Die chosen for detailed metrology, including records subsequently lost to dropout.",at available_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,"Shared lot/wafer/module state, radial and local-cluster effects, measurement noise, sampled metrology and screening.",generate.py:195: sampling.astype(int),sampling = rmeasurement.random(n_d) < c['metrology_sample_probability'],illustrative_simulation_assumption
die_metrology,metrology_missing_reason,str,category/text,one sampled core DRAM die,"none, not_sampled, or instrument_dropout; basic inspection fields remain populated.",at available_time_utc,observation_or_process_context,False,0,No missing values in this generated cohort.,"Shared lot/wafer/module state, radial and local-cluster effects, measurement noise, sampled metrology and screening.","generate.py:195: np.where(~sampling,'not_sampled',np.where(dropout,'instrument_dropout','none'))",sampling = rmeasurement.random(n_d) < c['metrology_sample_probability'] | dropout = sampling & (rmeasurement.random(n_d)<c['metrology_dropout_probability']),illustrative_simulation_assumption
die_metrology,critical_dimension_nm,float64,nm,one sampled core DRAM die,"Sampled critical feature-width proxy, not a disclosed node geometry.",at available_time_utc,observation_or_process_context,True,145468,Detailed metrology not sampled or instrument dropout; join die_metrology.metrology_missing_reason.,"Shared lot/wafer/module state, radial and local-cluster effects, measurement noise, sampled metrology and screening.",generate.py:195: sampled(cd),"cd = 24+0.35*lith+0.25*die_stress+rng.normal(0,0.18,n_d)",illustrative_simulation_assumption
